timestamp,open,high,low,close,volume
2025-12-23 16:00:00,2928.59,2966.56,2908.95,2943.92,66566.6724
2025-12-23 20:00:00,2943.95,2988.44,2940.89,2965.02,77938.8857
2025-12-24 00:00:00,2965.03,2978.15,2921.03,2945.75,37427.1687
2025-12-24 04:00:00,2945.75,2958.73,2917.12,2932.68,35394.642
2025-12-24 08:00:00,2932.69,2939.84,2914.35,2925.02,29363.6813
2025-12-24 12:00:00,2925.02,2938.73,2888.7,2925.55,44957.6081
2025-12-24 16:00:00,2925.54,2954.39,2921.37,2945.72,32340.0522
2025-12-24 20:00:00,2945.73,2962.96,2941.73,2947.47,17552.4075
2025-12-25 00:00:00,2947.48,2956.89,2936.89,2947.15,13645.1601
2025-12-25 04:00:00,2947.16,2948.15,2938.12,2941.56,17963.7439
2025-12-25 08:00:00,2941.57,2946.82,2912.0,2924.88,26993.2817
2025-12-25 12:00:00,2924.88,2971.46,2920.0,2961.14,50360.9413
2025-12-25 16:00:00,2961.14,2967.65,2943.75,2956.41,40199.7035
2025-12-25 20:00:00,2956.41,2956.58,2891.2,2903.95,39558.4676
2025-12-26 00:00:00,2903.9,2994.38,2894.26,2964.92,85472.0655
2025-12-26 04:00:00,2964.92,2993.27,2952.59,2956.83,56536.7528
2025-12-26 08:00:00,2956.83,2976.53,2954.76,2964.75,27704.0127
2025-12-26 12:00:00,2964.76,2985.89,2894.49,2923.19,102372.8741
2025-12-26 16:00:00,2923.2,2935.12,2906.98,2925.99,29323.5571
2025-12-26 20:00:00,2925.99,2938.83,2921.49,2927.99,13421.7367
2025-12-27 00:00:00,2928.0,2933.7,2921.33,2933.4,12504.4062
2025-12-27 04:00:00,2933.39,2938.0,2928.11,2933.27,9579.6222
2025-12-27 08:00:00,2933.27,2940.79,2917.25,2930.88,22992.0865
2025-12-27 12:00:00,2930.88,2933.85,2925.25,2926.5,11659.5727
2025-12-27 16:00:00,2926.5,2930.82,2917.13,2930.82,12392.4561
2025-12-27 20:00:00,2930.81,2960.89,2928.89,2949.05,25912.2519
2025-12-28 00:00:00,2949.05,2951.86,2941.14,2943.58,13874.2237
2025-12-28 04:00:00,2943.57,2947.07,2929.5,2939.0,12300.1573
2025-12-28 08:00:00,2938.99,2947.34,2931.56,2944.09,18702.5796
2025-12-28 12:00:00,2944.09,2961.23,2937.78,2949.46,33669.6711
2025-12-28 16:00:00,2949.47,2954.72,2924.54,2933.61,29530.2686
2025-12-28 20:00:00,2933.6,2955.5,2928.89,2950.91,20757.2387
2025-12-29 00:00:00,2950.91,3048.45,2944.54,3043.75,101995.3642
2025-12-29 04:00:00,3043.75,3057.78,3010.74,3019.51,103030.9462
2025-12-29 08:00:00,3019.51,3026.51,2956.89,2959.91,84829.1665
2025-12-29 12:00:00,2959.9,2965.85,2910.25,2935.75,119862.5897
2025-12-29 16:00:00,2935.75,2946.0,2914.03,2932.48,51908.4218
2025-12-29 20:00:00,2932.47,2944.24,2926.04,2937.9,24332.694
2025-12-30 00:00:00,2937.91,2956.0,2919.44,2951.91,30076.5563
2025-12-30 04:00:00,2951.92,2959.0,2937.39,2950.79,26514.3134
2025-12-30 08:00:00,2950.79,3003.66,2950.2,2978.88,59053.3564
2025-12-30 12:00:00,2978.88,3009.8,2958.88,2989.77,93742.7732
2025-12-30 16:00:00,2989.78,2995.28,2944.76,2971.56,54745.6584
2025-12-30 20:00:00,2971.56,2975.96,2954.28,2973.69,22450.6302
2025-12-31 00:00:00,2973.69,2984.86,2961.89,2970.69,20321.8507
2025-12-31 04:00:00,2970.68,2980.0,2968.92,2976.98,17669.201
2025-12-31 08:00:00,2976.97,3003.64,2963.91,3002.2,54160.4918
2025-12-31 12:00:00,3002.2,3028.08,2968.0,2985.76,77365.9324
2025-12-31 16:00:00,2985.76,2997.4,2958.91,2971.15,38835.5156
2025-12-31 20:00:00,2971.16,2984.86,2963.43,2971.64,25376.5972
2026-01-01 00:00:00,2971.65,2988.96,2971.15,2980.0,14277.7037
2026-01-01 04:00:00,2979.99,2983.79,2972.99,2978.53,24119.3745
2026-01-01 08:00:00,2978.52,2993.2,2977.8,2989.69,18658.7012
2026-01-01 12:00:00,2989.7,2994.87,2977.74,2989.87,24220.7859
2026-01-01 16:00:00,2989.87,3005.98,2980.75,2995.42,28557.2596
2026-01-01 20:00:00,2995.42,3010.0,2987.54,3004.19,26254.6958
2026-01-02 00:00:00,3004.19,3035.0,2992.49,3022.53,40245.6068
2026-01-02 04:00:00,3022.53,3039.54,3009.02,3018.33,25581.588
2026-01-02 08:00:00,3018.32,3069.71,3015.95,3047.82,67146.8837
2026-01-02 12:00:00,3047.81,3109.0,3020.79,3086.64,103779.6548
2026-01-02 16:00:00,3086.64,3150.01,3079.23,3123.62,103511.24
2026-01-02 20:00:00,3123.63,3146.0,3111.52,3125.45,29626.2716
2026-01-03 00:00:00,3125.46,3136.71,3119.26,3125.56,21639.9351
2026-01-03 04:00:00,3125.56,3127.79,3076.0,3090.5,37848.5768
2026-01-03 08:00:00,3090.49,3110.56,3083.86,3098.49,24186.4409
2026-01-03 12:00:00,3098.5,3114.61,3093.47,3101.31,21597.531
2026-01-03 16:00:00,3101.32,3118.55,3098.33,3113.13,13958.2898
2026-01-03 20:00:00,3113.13,3131.0,3107.49,3127.11,15174.4522
2026-01-04 00:00:00,3127.11,3167.22,3126.35,3147.36,48314.7056
2026-01-04 04:00:00,3147.36,3163.19,3133.57,3141.29,39164.635
2026-01-04 08:00:00,3141.29,3148.3,3126.0,3139.54,25325.4415
2026-01-04 12:00:00,3139.55,3147.26,3118.75,3135.55,25571.0536
2026-01-04 16:00:00,3135.55,3143.6,3118.98,3132.72,22056.3594
2026-01-04 20:00:00,3132.72,3155.85,3130.85,3144.7,21143.8735
2026-01-05 00:00:00,3144.71,3220.82,3143.54,3185.86,78748.0623
2026-01-05 04:00:00,3185.86,3188.35,3135.31,3157.33,46393.4312
2026-01-05 08:00:00,3157.24,3183.64,3153.12,3180.27,35017.8247
2026-01-05 12:00:00,3180.28,3205.0,3135.02,3195.57,75457.2182
2026-01-05 16:00:00,3195.58,3229.99,3159.48,3223.07,84699.9838
2026-01-05 20:00:00,3223.07,3265.66,3220.0,3224.99,62130.1416
2026-01-06 00:00:00,3224.99,3247.3,3203.34,3225.1,41660.2045
2026-01-06 04:00:00,3225.1,3253.76,3211.37,3219.24,43424.5658
2026-01-06 08:00:00,3219.24,3242.98,3214.52,3238.08,31791.5748
2026-01-06 12:00:00,3238.09,3308.86,3230.0,3272.32,128299.7324
2026-01-06 16:00:00,3272.31,3279.36,3183.27,3223.57,114076.954
2026-01-06 20:00:00,3223.57,3301.6,3223.11,3296.84,53250.4751
2026-01-07 00:00:00,3296.83,3296.84,3239.44,3266.83,42293.9943
2026-01-07 04:00:00,3266.84,3271.81,3246.75,3255.31,22149.3916
2026-01-07 08:00:00,3255.31,3263.37,3196.23,3220.24,64927.4387
2026-01-07 12:00:00,3220.25,3229.05,3144.37,3164.7,91685.5827
2026-01-07 16:00:00,3164.71,3179.69,3125.42,3146.02,58204.1941
2026-01-07 20:00:00,3146.02,3181.78,3128.13,3168.72,42089.5211
2026-01-08 00:00:00,3168.72,3184.39,3133.56,3142.88,39920.8253
2026-01-08 04:00:00,3142.88,3161.24,3090.04,3128.28,59556.3234
2026-01-08 08:00:00,3128.29,3136.56,3096.68,3121.24,46446.0065
2026-01-08 12:00:00,3121.25,3121.49,3054.65,3104.2,115339.8326
2026-01-08 16:00:00,3104.19,3140.0,3090.2,3111.53,53648.4349
2026-01-08 20:00:00,3111.53,3130.38,3089.39,3106.65,28704.6778
2026-01-09 00:00:00,3106.66,3148.41,3081.34,3119.6,49958.428
2026-01-09 04:00:00,3119.6,3125.71,3110.39,3111.2,17294.1278
2026-01-09 08:00:00,3111.21,3115.37,3067.44,3090.36,40427.3691
2026-01-09 12:00:00,3090.36,3143.0,3058.69,3112.08,86674.2014
2026-01-09 16:00:00,3112.08,3145.45,3068.94,3080.6,56163.5771
2026-01-09 20:00:00,3080.6,3093.35,3065.23,3088.4,24069.7499
2026-01-10 00:00:00,3088.4,3094.61,3080.1,3086.51,10803.586
2026-01-10 04:00:00,3086.51,3093.38,3077.99,3092.77,20280.0951
2026-01-10 08:00:00,3092.77,3104.12,3087.37,3096.99,19119.5953
2026-01-10 12:00:00,3096.99,3104.01,3088.81,3095.64,12501.0934
