timestamp,open,high,low,close,volume
2026-03-06 13:30:00,70060.84,70341.76,69750.0,70094.14,668.03541
2026-03-06 13:45:00,70094.13,70094.14,69208.0,69208.0,912.74088
2026-03-06 14:00:00,69213.18,69273.87,68642.57,68826.06,1045.64409
2026-03-06 14:15:00,68826.06,69100.01,68726.69,68986.01,657.26275
2026-03-06 14:30:00,68986.01,69095.51,68400.0,68743.0,799.66678
2026-03-06 14:45:00,68743.0,68901.62,68176.47,68409.89,645.93317
2026-03-06 15:00:00,68409.89,68661.81,68323.0,68624.02,434.10014
2026-03-06 15:15:00,68625.15,69023.99,68564.0,68886.86,385.10537
2026-03-06 15:30:00,68886.86,69100.0,68697.86,68753.55,289.57676
2026-03-06 15:45:00,68753.54,68756.65,68306.0,68504.71,319.90322
2026-03-06 16:00:00,68504.71,68795.44,68274.06,68333.77,270.51052
2026-03-06 16:15:00,68333.77,68555.93,68222.0,68537.47,294.28564
2026-03-06 16:30:00,68537.47,68670.17,68336.71,68589.74,174.8409
2026-03-06 16:45:00,68589.74,68714.83,68340.3,68446.52,215.37243
2026-03-06 17:00:00,68446.52,68642.69,68400.0,68403.61,230.68664
2026-03-06 17:15:00,68403.6,68583.28,68200.0,68245.83,211.34951
2026-03-06 17:30:00,68245.83,68291.65,67744.78,67832.33,546.73163
2026-03-06 17:45:00,67832.33,68052.61,67832.33,67955.1,248.02145
2026-03-06 18:00:00,67955.1,68380.14,67955.1,68329.24,160.70088
2026-03-06 18:15:00,68329.24,68426.57,68258.0,68292.0,134.88278
2026-03-06 18:30:00,68291.99,68476.47,68269.69,68433.17,88.61255
2026-03-06 18:45:00,68433.18,68470.03,68162.31,68181.2,130.78447
2026-03-06 19:00:00,68181.2,68463.56,68181.2,68438.52,176.21462
2026-03-06 19:15:00,68438.51,68485.01,68098.39,68216.47,241.25889
2026-03-06 19:30:00,68216.46,68311.61,68140.0,68143.98,84.53025
2026-03-06 19:45:00,68143.98,68173.05,68004.15,68131.79,115.63116
2026-03-06 20:00:00,68131.79,68285.71,68000.0,68014.44,180.20568
2026-03-06 20:15:00,68014.44,68136.62,67777.0,67832.74,176.75075
2026-03-06 20:30:00,67832.73,68072.0,67812.45,67989.0,163.8114
2026-03-06 20:45:00,67989.0,68178.18,67985.7,68111.03,147.85047
2026-03-06 21:00:00,68111.03,68189.17,68074.16,68148.66,92.2187
2026-03-06 21:15:00,68148.66,68173.2,67919.72,68005.64,113.97877
2026-03-06 21:30:00,68005.64,68244.34,67969.88,68238.56,297.56784
2026-03-06 21:45:00,68238.56,68333.33,68194.61,68289.1,101.04365
2026-03-06 22:00:00,68289.11,68366.3,68265.7,68290.97,77.69867
2026-03-06 22:15:00,68290.97,68388.18,68252.94,68288.91,59.4674
2026-03-06 22:30:00,68288.91,68422.35,68221.38,68372.19,104.02954
2026-03-06 22:45:00,68372.2,68440.92,68308.9,68319.89,63.717
2026-03-06 23:00:00,68319.9,68341.01,68248.0,68334.55,258.32491
2026-03-06 23:15:00,68334.54,68371.24,68306.9,68347.76,70.17683
2026-03-06 23:30:00,68347.76,68351.01,68167.12,68251.22,159.32625
2026-03-06 23:45:00,68251.22,68251.22,68105.71,68114.02,123.5477
2026-03-07 00:00:00,68114.02,68260.95,68105.73,68214.04,274.0579
2026-03-07 00:15:00,68214.04,68258.7,68116.0,68210.27,260.24598
2026-03-07 00:30:00,68210.26,68394.09,68210.26,68297.84,81.03028
2026-03-07 00:45:00,68297.84,68358.33,68284.59,68290.45,38.04689
2026-03-07 01:00:00,68290.46,68369.11,68200.0,68240.16,68.50832
2026-03-07 01:15:00,68240.17,68268.0,68180.95,68225.06,122.45863
2026-03-07 01:30:00,68225.06,68273.31,68185.99,68273.3,79.42408
2026-03-07 01:45:00,68273.31,68343.36,68256.12,68262.01,45.67042
2026-03-07 02:00:00,68262.01,68300.0,68212.49,68240.01,49.95583
2026-03-07 02:15:00,68240.01,68264.51,68107.01,68107.02,78.90552
2026-03-07 02:30:00,68107.02,68200.09,68060.6,68166.88,118.33731
2026-03-07 02:45:00,68166.87,68367.73,68166.01,68350.04,69.76543
2026-03-07 03:00:00,68350.05,68551.04,68329.89,68515.19,160.60318
